@relation abalone
@attribute Sex integer [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings integer [1, 29]
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
2, 0.495, 0.38, 0.12, 0.573, 0.2655, 0.1285, 0.144, 7
3, 0.25, 0.19, 0.06, 0.0765, 0.036, 0.0115, 0.0245, 6
3, 0.165, 0.12, 0.03, 0.0215, 0.007, 0.005, 0.005, 3
1, 0.575, 0.45, 0.155, 0.948, 0.429, 0.206, 0.259, 7
2, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, 10
1, 0.665, 0.52, 0.175, 1.3725, 0.606, 0.32, 0.395, 12
1, 0.425, 0.33, 0.08, 0.361, 0.134, 0.0825, 0.125, 7
1, 0.555, 0.44, 0.15, 1.092, 0.416, 0.212, 0.4405, 15
1, 0.595, 0.47, 0.165, 1.108, 0.4915, 0.2325, 0.3345, 9
1, 0.66, 0.535, 0.2, 1.791, 0.733, 0.318, 0.54, 15
3, 0.57, 0.425, 0.14, 0.7655, 0.331, 0.14, 0.24, 10
1, 0.505, 0.41, 0.125, 0.642, 0.289, 0.133, 0.155, 9
1, 0.645, 0.5, 0.175, 1.3385, 0.633, 0.299, 0.349, 11
3, 0.46, 0.35, 0.12, 0.4885, 0.193, 0.105, 0.155, 11
2, 0.455, 0.35, 0.14, 0.5725, 0.1965, 0.1325, 0.175, 10
2, 0.58, 0.48, 0.18, 1.2495, 0.4945, 0.27, 0.371, 8
1, 0.655, 0.525, 0.18, 1.402, 0.624, 0.2935, 0.365, 13
2, 0.705, 0.55, 0.2, 1.7095, 0.633, 0.4115, 0.49, 13
3, 0.515, 0.395, 0.125, 0.6635, 0.32, 0.14, 0.17, 8
2, 0.54, 0.42, 0.13, 0.7505, 0.368, 0.1675, 0.1845, 9
1, 0.54, 0.435, 0.14, 0.7345, 0.33, 0.1595, 0.213, 9
2, 0.595, 0.44, 0.135, 0.964, 0.5005, 0.1715, 0.2575, 10
2, 0.63, 0.5, 0.16, 1.22, 0.4905, 0.3, 0.345, 14
1, 0.615, 0.49, 0.17, 1.145, 0.4915, 0.208, 0.343, 13
2, 0.515, 0.4, 0.17, 0.796, 0.258, 0.1755, 0.28, 16
1, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, 10
3, 0.535, 0.4, 0.135, 0.775, 0.368, 0.208, 0.2055, 8
2, 0.615, 0.465, 0.15, 0.923, 0.4615, 0.1825, 0.2415, 9
3, 0.455, 0.36, 0.115, 0.457, 0.2085, 0.0855, 0.147, 10
1, 0.495, 0.385, 0.135, 0.709, 0.211, 0.1375, 0.262, 12
1, 0.61, 0.485, 0.145, 1.3305, 0.783, 0.2255, 0.2865, 9
2, 0.625, 0.485, 0.135, 1.3025, 0.61, 0.2675, 0.3605, 14
3, 0.33, 0.25, 0.075, 0.1405, 0.056, 0.035, 0.05, 5
2, 0.54, 0.415, 0.15, 0.8115, 0.3875, 0.1875, 0.2035, 9
2, 0.58, 0.445, 0.15, 0.858, 0.4, 0.156, 0.253, 8
2, 0.695, 0.56, 0.22, 1.834, 0.8455, 0.422, 0.455, 11
1, 0.605, 0.455, 0.16, 1.1215, 0.533, 0.273, 0.271, 10
1, 0.67, 0.51, 0.2, 1.5945, 0.6705, 0.3845, 0.4505, 10
1, 0.61, 0.48, 0.15, 1.2, 0.56, 0.2455, 0.28, 14
3, 0.62, 0.485, 0.18, 1.154, 0.4935, 0.256, 0.315, 12
1, 0.395, 0.28, 0.08, 0.266, 0.0995, 0.066, 0.09, 12
3, 0.575, 0.45, 0.135, 0.8715, 0.45, 0.162, 0.225, 10
2, 0.43, 0.325, 0.115, 0.3865, 0.1475, 0.1065, 0.11, 11
3, 0.46, 0.335, 0.11, 0.444, 0.225, 0.0745, 0.11, 8
2, 0.54, 0.475, 0.155, 1.217, 0.5305, 0.3075, 0.34, 16
2, 0.57, 0.43, 0.16, 0.811, 0.3875, 0.159, 0.2285, 9
3, 0.235, 0.16, 0.04, 0.048, 0.0185, 0.018, 0.015, 5
2, 0.72, 0.595, 0.225, 1.969, 0.8045, 0.423, 0.66, 16
3, 0.375, 0.29, 0.085, 0.2385, 0.118, 0.045, 0.0695, 7
1, 0.525, 0.415, 0.135, 0.7945, 0.394, 0.189, 0.202, 7
3, 0.365, 0.27, 0.105, 0.2155, 0.0915, 0.0475, 0.063, 6
3, 0.17, 0.13, 0.095, 0.03, 0.013, 0.008, 0.01, 4
1, 0.445, 0.32, 0.12, 0.414, 0.199, 0.09, 0.117, 7
2, 0.57, 0.465, 0.155, 0.872, 0.3245, 0.239, 0.285, 14
2, 0.415, 0.325, 0.105, 0.38, 0.1595, 0.0785, 0.12, 12
2, 0.645, 0.525, 0.2, 1.449, 0.601, 0.2565, 0.505, 13
3, 0.39, 0.285, 0.1, 0.281, 0.1275, 0.062, 0.077, 7
1, 0.69, 0.525, 0.2, 1.7825, 0.9165, 0.3325, 0.461, 12
3, 0.535, 0.41, 0.155, 0.6315, 0.2745, 0.1415, 0.1815, 12
2, 0.565, 0.44, 0.135, 0.83, 0.393, 0.1735, 0.238, 9
1, 0.515, 0.385, 0.11, 0.5785, 0.253, 0.16, 0.14, 8
3, 0.385, 0.3, 0.125, 0.343, 0.1705, 0.0735, 0.081, 7
1, 0.545, 0.41, 0.14, 0.625, 0.223, 0.16, 0.235, 13
2, 0.67, 0.585, 0.16, 1.309, 0.5445, 0.2945, 0.413, 10
1, 0.605, 0.475, 0.15, 1.15, 0.575, 0.232, 0.297, 10
3, 0.21, 0.15, 0.055, 0.0465, 0.017, 0.012, 0.015, 5
3, 0.385, 0.29, 0.095, 0.312, 0.143, 0.0635, 0.086, 6
3, 0.495, 0.39, 0.125, 0.6655, 0.284, 0.162, 0.2, 11
3, 0.47, 0.345, 0.14, 0.4615, 0.229, 0.1105, 0.116, 9
3, 0.43, 0.34, 0.1, 0.3405, 0.1395, 0.0665, 0.12, 8
3, 0.165, 0.115, 0.015, 0.0145, 0.0055, 0.003, 0.005, 4
3, 0.51, 0.38, 0.115, 0.5155, 0.215, 0.1135, 0.166, 8
2, 0.685, 0.535, 0.175, 1.5845, 0.7175, 0.3775, 0.4215, 9
3, 0.38, 0.285, 0.085, 0.237, 0.115, 0.0405, 0.07, 6
3, 0.32, 0.24, 0.075, 0.1735, 0.076, 0.0355, 0.05, 7
3, 0.275, 0.2, 0.065, 0.092, 0.0385, 0.0235, 0.027, 5
2, 0.36, 0.27, 0.09, 0.1885, 0.0845, 0.0385, 0.055, 5
3, 0.385, 0.29, 0.1, 0.2575, 0.1, 0.061, 0.086, 6
1, 0.605, 0.47, 0.16, 1.1735, 0.4975, 0.2405, 0.345, 12
3, 0.62, 0.47, 0.155, 0.966, 0.447, 0.171, 0.284, 11
2, 0.435, 0.325, 0.115, 0.3915, 0.154, 0.094, 0.12, 7
2, 0.59, 0.465, 0.17, 1.0425, 0.4635, 0.24, 0.27, 10
2, 0.47, 0.375, 0.105, 0.513, 0.232, 0.142, 0.13, 11
3, 0.6, 0.445, 0.135, 0.9205, 0.445, 0.2035, 0.253, 9
1, 0.445, 0.35, 0.14, 0.5905, 0.2025, 0.158, 0.19, 14
3, 0.475, 0.36, 0.11, 0.452, 0.191, 0.099, 0.13, 8
1, 0.625, 0.465, 0.14, 1.195, 0.4825, 0.205, 0.4, 13
3, 0.36, 0.27, 0.085, 0.196, 0.0875, 0.035, 0.064, 4
3, 0.515, 0.4, 0.125, 0.5925, 0.265, 0.1175, 0.168, 9
3, 0.235, 0.17, 0.065, 0.0625, 0.023, 0.014, 0.022, 6
3, 0.605, 0.49, 0.165, 1.071, 0.482, 0.1935, 0.352, 10
2, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, 10
1, 0.565, 0.465, 0.175, 0.995, 0.3895, 0.183, 0.37, 15
1, 0.585, 0.405, 0.15, 1.2565, 0.435, 0.202, 0.325, 15
3, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, 10
2, 0.5, 0.375, 0.115, 0.5945, 0.185, 0.148, 0.19, 11
2, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, 8
2, 0.605, 0.475, 0.165, 1.056, 0.433, 0.2195, 0.357, 9
2, 0.58, 0.46, 0.15, 1.1155, 0.5575, 0.2255, 0.29, 7
2, 0.55, 0.43, 0.14, 0.84, 0.375, 0.218, 0.1945, 8
1, 0.52, 0.4, 0.12, 0.823, 0.298, 0.1805, 0.265, 15
3, 0.3, 0.23, 0.075, 0.15, 0.0605, 0.042, 0.045, 5
3, 0.365, 0.28, 0.09, 0.196, 0.0865, 0.036, 0.0605, 7
1, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, 8
1, 0.53, 0.41, 0.14, 0.681, 0.3095, 0.1415, 0.1835, 6
2, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, 9
